"Name","id.review","Text","Neg or Pos","Province","Type"
"Hotel 82",63,"struttura con del potenziale  hanno sono diverse camere con dei bei terrazzini  noi siamo capitati probabilmente nelle ultime camere che avevano disponibili ","Pos","Ogliastra","3-Star"
"Hotel 45",552,"albergo molto pulito e con camere spaziose  appena fuori dal centro ma in compenso silenzioso e con ampia possibilit  di parcheggio","Pos","Medio Campidano","Other Facilities"
"Hotel 459",179,"la pulizia e l ordine","Pos","Olbia-Tempio","4-Star"
"Hotel 155",160,"breakfast ended a little early ","Neg","Cagliari","3-Star"
"Hotel 262",30,"ho soggiornato 3 giorni in questa struttura  ottima posizione a 50 mt dal mare e a 10 minuti a piedi dal porticciolo turistico per l imbarco delle motonavi per la gita alle cale  da fare assolutamente   personale gentilissimo e cortese  ottimi consigli su dove mangiare e sulle varie escursioni via terra e mare  camera confortevole con aria condizionata minibar cassaforte prodotti da bagno e stendino a disposizione nelle terrazze utilissimo per stendere asciugamani e costumi  colazione varia e abbondante con cibo dolce  salato e frutta di stagione   consigliatissimo ","Pos","Cagliari","1-Star"
"Hotel 97",27,"la colazione era ottima  con ampia scelta","Pos","Ogliastra","3-Star"
"Hotel 525",249,"l entrata hd della tv non funzionava ","Neg","Olbia-Tempio","3-Star"
"Hotel 532",54,"abbiamo preso la stanza ai piano alti    con terrazzino    una vista da paura  un silenzio impagabile ","Pos","Sassari","3-Star"
"Hotel 558",31,"arredamento della stanza","Pos","Sassari","4-Star"
"Hotel 598",3,"struttura spaziosa  pulita  ben accessoriata  ottimo giardino esterno con barbecue ","Pos","Olbia-Tempio","2-Star"
"Hotel 195",33,"la torta salata della colazione era ottima","Pos","Cagliari","Other Facilities"
"Hotel 427",82,"la piscina sapeva troppo di cloro  l idromassaggio non ha mai funzionato e non vi era un bar per chi volesse passare la giornata li ","Neg","Olbia-Tempio","4-Star"
"Hotel 35",6,"camera discretamente spaziosa e con terrazzo  posteggio privato  personale molto gentile e disponibile  ristorante con cucina casalinga  poca scelta ma ottimo ","Pos","Cagliari","3-Star"
"Hotel 55",90,"  cortesia e disponibilit  del personale  sempre sorridente e pronto ad ascoltare le esigente del cliente    stupenda e rilassante piscina    struttura curatissima e pulitissima  anche nei dettagli    colazione abbondante e varia su una bellissima terrazza con vista    camere spaziose e confortevoli    ristorante eccellente ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 58",145,"il parco tenuto molto bene  il personale gentile  mare pulito","Pos","Cagliari","4-Star"
"Hotel 173",70,"bellissima posizione  mare meraviglioso  assoluta tranquillit   personale altamente professionale   disponibile e accogliente  tutto questo ha contribuito a rendere il soggiorno davvero piacevole  difficile da dimenticare ","Pos","Nuoro","4-Star"
"Hotel 418",7,"pareti leggermente sottili     si potevano sentire i rumori delle camere attigue ","Neg","Olbia-Tempio","3-Star"
"Hotel 235",7,"mi ha colpito l accoglienza professionale ma cordiale  l ambiente perfettamente ristrutturato  la colazione ricca di frutta  torte fatte in casa e brioches di fine pasticceria","Pos","Cagliari","Other Facilities"
"Hotel 204",46,"they don t speak a word english","Neg","Nuoro","Other Facilities"
"Hotel 568",64,"lo staff non   stato per niente accogliente  la pulizia della stanza ","Neg","Sassari","4-Star"
"Hotel 278",173,"la comodit  del luogo ","Pos","Cagliari","3-Star"
"Hotel 37",313,"very nice room with a large terrace overlooking the old city  beautiful hotel and friendly staff  good breakfast ","Pos","Oristano","3-Star"
"Hotel 183",6,"struttura location molto bella servizio alla reception manutenzione della struttura cucina","Pos","Cagliari","3-Star"
"Hotel 288",160,"un intero piano aveva l aria condizionata fuori uso  nelle giornate pi  calde dell anno  e la notte   stata un inferno ","Neg","Medio Campidano","3-Star"
